ostta	atha
ostta11g02740	AT3G58730
ostta11g02750	AT1G14270
ostta11g02760	AT1G68830
ostta11g02770	AT4G31530
ostta11g02780	AT5G42740
ostta11g02790	AT1G65230
ostta11g02800	AT1G10350
ostta11g02820	AT1G48030
ostta11g02830	AT4G18593
ostta11g02860	AT5G63010
ostta11g02870	AT3G06380
ostta11g02890	AT5G58270
ostta11g02900	AT1G75210
ostta11g02910	AT3G07750
ostta11g02920	AT3G24350
ostta11g02960	AT3G13440
ostta11g03020	AT1G68090
ostta11g03030	AT4G04460
ostta11g03040	AT3G05870
ostta11g03070	AT1G17520
ostta11g03090	AT1G07780
ostta11g03100	AT1G53760
ostta11g03110	AT5G63310
ostta11g03130	AT5G48570
ostta11g03160	AT5G19600
ostta11g03190	AT2G35020
ostta11g03200	AT3G45630
ostta11g03210	AT5G25757
ostta11g03220	AT2G17510
ostta11g03230	AT3G50100
ostta11g03250	AT3G01340
ostta11g03260	AT4G25350
ostta11g03270	AT3G56330
ostta11g03280	AT3G46100
ostta11g03290	AT4G28650
ostta12g00010	AT1G67620
ostta12g00030	AT2G21870
ostta12g00040	AT5G51300
ostta12g00050	AT1G71230
ostta12g00060	AT5G03880
ostta12g00070	AT1G31660
ostta12g00080	AT5G22640
ostta12g00090	AT2G21800
ostta12g00110	AT2G42120
ostta12g00120	AT5G58230
ostta12g00130	AT4G09620
ostta12g00140	AT5G04590
ostta12g00150	AT1G72590
ostta12g00160	AT1G79930
ostta12g00180	AT4G29140
ostta12g00190	AT1G65980
ostta12g00200	AT2G16570
ostta12g00230	AT4G26850
ostta12g00240	AT5G23300
ostta12g00270	AT5G58770
ostta12g00290	AT1G17650
ostta12g00300	AT3G24300
ostta12g00310	AT5G19630
ostta12g00320	AT4G09020
ostta12g00330	AT5G49510
ostta12g00340	AT5G07470
ostta12g00350	AT3G01540
ostta12g00360	AT5G55610
ostta12g00370	AT3G59040
ostta12g00400	AT2G40860
ostta12g00410	AT5G25530
ostta12g00420	ATCG00220
ostta12g00440	AT5G37510
ostta12g00480	AT5G37770
ostta12g00490	AT3G62790
ostta12g00500	AT5G63610
ostta12g00510	AT3G13445
ostta12g00520	AT1G67740
ostta12g00530	AT1G31730
ostta12g00550	ATCG00210
ostta12g00560	AT2G20635
ostta12g00580	AT4G19150
ostta12g00590	AT5G60990
ostta12g00610	AT3G17910
ostta12g00630	AT5G47430
ostta12g00640	AT4G08790
ostta12g00650	AT3G24800
ostta12g00655	AT1G52500
ostta12g00670	AT5G38360
ostta12g00680	AT4G17420
ostta12g00800	AT2G32730
ostta12g00810	AT2G15240
ostta12g00820	AT5G51340
ostta12g00830	AT3G07200
ostta12g00850	AT3G63460
ostta12g00860	AT4G36390
ostta12g00870	AT3G63460
ostta12g00880	AT1G13190
ostta12g00890	AT2G21150
ostta12g00900	AT1G22940
ostta12g00065	AT3G51480
ostta12g00930	AT5G27410
ostta12g00940	AT5G32470
ostta12g00980	AT3G20670
ostta12g00990	AT2G28720
ostta12g01000	AT5G27600
ostta12g01010	AT3G49910
ostta12g01020	AT3G09660
ostta12g01030	AT2G26540
ostta12g01050	AT1G15130
ostta12g01060	AT4G38600
ostta12g01070	AT5G13120
ostta12g01090	AT4G36390
ostta12g01120	AT2G25260
ostta12g01130	AT5G46860
ostta12g01150	AT5G05710
ostta12g01160	AT5G15220
ostta12g01170	AT4G05320
ostta12g01180	AT5G59140
ostta12g01220	AT5G64940
ostta12g01230	AT3G27060
ostta12g01240	AT5G05370
ostta12g01250	AT5G11850
ostta12g01260	AT3G25420
ostta12g01270	AT2G35630
ostta12g01280	AT4G36810
ostta12g01290	AT1G09830
ostta12g01320	AT4G14960
ostta12g01330	AT2G39910
ostta12g01340	AT3G51520
ostta12g01360	AT1G10570
ostta12g01390	AT1G44446
ostta12g01420	AT5G59570
ostta12g01450	AT5G09830
ostta12g01460	AT1G56310
ostta12g01470	AT3G52570
ostta12g01490	AT5G50230
ostta12g01500	AT5G15610
ostta12g01520	AT1G07745
ostta12g01530	AT3G10050
ostta12g01550	AT1G69210
ostta12g01560	AT1G34065
ostta12g01570	AT3G12210
ostta12g01580	AT5G10930
ostta12g01590	AT4G33640
ostta12g01600	AT5G38520
ostta12g01610	AT5G17560
ostta12g01620	AT1G01350
ostta12g01630	AT1G17890
ostta12g01650	AT4G04670
ostta12g01660	AT5G42970
ostta12g01670	AT3G18630
ostta12g01680	AT5G45360
ostta12g01700	AT3G19010
ostta12g01710	AT3G62910
ostta12g01720	AT5G52820
ostta12g01740	AT3G14080
ostta12g01750	AT5G43060
ostta12g01760	AT2G21580
ostta12g01770	AT4G28550
ostta12g01780	AT5G62840
ostta12g01790	AT3G22660
ostta12g01800	AT1G52590
ostta12g01810	AT1G62620
ostta12g01820	AT5G16300
ostta12g01830	AT1G58280
ostta12g01850	AT1G72280
ostta12g01870	AT1G06110
ostta12g01880	AT5G63980
ostta12g01900	AT1G57770
ostta12g01910	AT4G16660
ostta12g01940	AT3G13940
ostta12g01950	AT1G49880
ostta12g01960	AT1G50030
ostta12g01965	AT3G48190
ostta12g01970	AT1G03600
ostta12g01995	AT2G41880
ostta12g02000	AT2G06530
ostta12g02010	AT4G28450
ostta12g02040	AT5G55310
ostta12g02050	AT2G21070
ostta12g02065	AT4G10710
ostta12g02070	AT5G08290
ostta12g02080	AT2G45280
ostta12g02100	AT4G01995
ostta12g02110	AT1G06720
ostta12g02140	AT1G19860
ostta12g02160	AT1G69340
ostta12g02170	AT1G55790
ostta12g02180	AT1G54780
ostta12g02200	AT1G19800
ostta12g02220	AT5G55570
ostta12g02230	AT1G60230
ostta12g02240	AT2G03430
ostta12g02250	AT3G28030
ostta12g02280	AT3G45590
ostta12g02290	AT5G04710
ostta12g02300	AT1G54130
ostta12g02310	AT5G65110
ostta12g02320	AT1G53720
ostta12g02330	AT3G27080
ostta12g02340	AT2G25100
ostta12g02360	AT5G50780
ostta12g02390	AT3G13226
ostta12g02400	AT1G70290
ostta12g02410	AT1G65820
ostta12g02430	AT5G57170
ostta12g02440	AT3G07100
ostta12g02450	AT5G48760
ostta12g02460	AT2G40490
ostta12g02485	AT1G63160
ostta12g02490	AT1G79690
ostta12g02500	AT3G07480
ostta12g02510	AT5G60410
ostta12g02520	AT1G01790
ostta12g02530	AT3G26730
ostta12g02540	AT1G10200
ostta12g02550	AT2G23070
ostta12g02560	AT5G43100
ostta12g02570	AT2G47960
ostta12g02580	AT2G39290
ostta12g02590	AT1G08720
ostta12g02600	AT4G30260
ostta12g02610	AT3G06350
ostta12g02620	AT5G19430
ostta12g02630	AT5G45370
ostta12g02650	AT2G13560
ostta12g02670	AT2G11000
ostta12g02680	AT5G09500
ostta12g02690	AT5G47860
ostta12g02710	AT3G48850
ostta12g02740	AT2G46210
ostta12g02760	AT3G63490
ostta12g02770	AT1G10630
ostta12g02780	AT4G28610
ostta12g02800	AT4G19645
ostta12g02810	AT2G37770
ostta12g02830	AT5G20920
ostta12g02840	AT3G06400
ostta12g02870	AT4G24770
ostta12g02880	AT5G11860
ostta12g02890	AT4G38890
ostta12g02900	AT1G03190
ostta12g02920	AT3G05560
ostta12g02930	AT3G48195
ostta12g02960	AT1G53310
ostta12g02970	AT5G10920
ostta12g02980	AT5G35080
ostta12g02990	AT3G11540
ostta12g03000	AT2G28000
ostta12g03010	AT5G10070
ostta12g03030	AT3G19760
ostta12g03050	AT2G35170
ostta12g03060	AT3G59760
ostta12g03070	AT5G58510
ostta12g03100	AT5G56940
ostta12g03110	AT3G54860
ostta12g03120	AT1G54440
ostta12g03130	AT4G24610
ostta12g03150	AT2G29210
ostta12g03170	AT1G73600
ostta12g03180	AT1G73110
ostta12g03190	AT5G61810
ostta12g03200	AT1G71270
ostta13g00020	AT5G10790
ostta13g00030	AT1G05910
ostta13g00040	AT3G09890
ostta13g00060	AT1G48870
ostta13g00070	AT3G27160
ostta13g00080	AT1G63830
ostta13g00090	AT3G03060
ostta13g00100	AT5G14800
ostta13g00110	AT3G09230
ostta13g00120	AT3G23890
ostta13g00130	AT5G52820
ostta13g00150	AT5G47010
ostta13g00160	AT1G19690
ostta13g00170	AT1G51110
ostta13g00190	AT2G46580
ostta13g00210	AT4G22720
ostta13g00260	AT3G12270
ostta13g00270	AT1G21700
ostta13g00290	AT5G57040
ostta13g00300	AT1G09280
ostta13g00310	AT1G13120
ostta13g00320	AT3G56040
ostta13g00330	AT1G48300
ostta13g00350	AT4G35450
ostta13g00360	AT3G19170
ostta13g00370	AT5G53490
ostta13g00390	AT5G11560
ostta13g00400	AT1G65440
ostta13g00410	AT1G63990
ostta13g00420	AT3G29240
ostta13g00450	AT1G61560
ostta13g00460	AT5G01660
ostta13g00470	AT2G34410
ostta13g00480	AT5G37500
ostta13g00490	AT5G01460
ostta13g00500	AT1G07040
ostta13g00520	AT1G68370
ostta13g00530	AT4G33460
ostta13g00540	AT1G04950
ostta13g00570	AT1G26940
ostta13g00580	AT2G41490
ostta13g00590	AT5G65400
ostta13g00600	AT3G04970
ostta13g00620	AT5G37500
ostta13g00630	AT2G21170
ostta13g00640	AT1G75010
ostta13g00670	AT5G08180
ostta13g00680	AT5G49060
ostta13g00710	AT4G27890
ostta13g00720	AT4G33480
ostta13g00730	AT3G07080
ostta13g00740	AT1G72740
ostta13g00780	AT1G20080
ostta13g00800	AT2G23930
ostta13g00810	AT4G16680
ostta13g00820	AT5G21326
ostta13g00825	AT2G45990
ostta13g00830	AT5G58270
ostta13g00850	AT1G77680
ostta13g00860	AT3G02470
ostta13g00880	AT5G60390
ostta13g00885	AT4G04330
ostta13g00890	AT2G18850
ostta13g00900	AT3G16565
ostta13g00920	AT1G50730
ostta13g00930	AT4G34930
ostta13g00950	AT3G19280
ostta13g00960	AT2G05620
ostta13g00970	AT3G07300
ostta13g01000	AT3G52730
ostta13g01010	AT5G35200
ostta13g01020	AT2G29650
ostta13g01030	AT1G65900
ostta13g01040	AT2G46210
ostta13g01060	AT5G23120
ostta13g01070	AT3G51520
ostta13g01080	AT1G32400
ostta13g01090	AT5G20930
ostta13g01100	AT4G25340
ostta13g01110	AT5G15802
ostta13g01120	AT2G19480
ostta13g01130	AT3G08720
ostta13g01140	AT2G24490
ostta13g01150	AT1G54960
ostta13g01170	AT5G55190
ostta13g01180	AT5G24300
ostta13g01190	AT5G45940
ostta13g01200	AT1G11720
ostta13g01210	AT5G39530
ostta13g01230	AT3G49180
ostta13g01240	AT3G16840
ostta13g01280	AT1G06070
ostta13g01290	AT4G03420
ostta13g01300	AT1G14260
ostta13g01310	AT1G20700
ostta13g01320	AT1G22700
ostta13g01330	AT2G36145
ostta13g01335	AT5G04250
ostta13g01350	AT4G27780
ostta13g01360	AT1G65950
ostta13g01370	AT5G18640
ostta13g01380	AT1G53670
ostta13g01390	AT5G47010
ostta13g01420	AT1G78560
ostta13g01440	AT1G26520
ostta13g01450	AT2G03430
ostta13g01460	AT1G10760
ostta13g01470	AT2G18450
ostta13g01490	AT5G57590
ostta13g01500	AT1G02090
ostta13g01510	AT1G48630
ostta13g01520	AT4G16420
ostta13g01530	AT5G48830
ostta13g01550	AT2G46210
ostta13g01560	AT4G11910
ostta13g01570	AT5G41480
ostta13g01580	AT4G17300
ostta13g01590	AT5G04920
ostta13g01600	AT2G04520
ostta13g01610	AT5G13390
ostta13g01630	AT1G48240
ostta13g01640	AT3G45620
ostta13g01650	AT3G09360
ostta13g01670	AT5G23630
ostta13g01680	AT1G12370
ostta13g01690	AT3G29360
ostta13g01700	AT3G55010
ostta13g01720	AT5G65290
ostta13g01730	AT5G60335
ostta13g01750	AT3G17930
ostta13g01770	AT3G06910
ostta13g01800	AT1G02630
ostta13g01810	AT2G22400
ostta13g01820	AT5G24470
ostta13g01840	AT3G45300
ostta13g01850	AT3G61570
ostta13g01870	AT1G17160
ostta13g01880	AT4G32830
ostta13g01890	AT3G19440
ostta13g01900	AT2G20990
ostta13g01910	AT5G38660
ostta13g01940	AT5G14720
ostta13g01950	AT3G29170
ostta13g01960	AT3G24530
ostta13g01980	AT3G55830
ostta13g01990	AT5G20910
ostta13g02000	AT1G72570
ostta13g02020	AT1G55350
ostta13g02030	AT5G52560
ostta13g02040	AT5G41880
ostta13g02050	AT1G42430
ostta13g02060	AT4G16630
ostta13g02080	AT5G39270
ostta13g02090	AT4G32360
ostta13g02120	AT2G39810
ostta13g02140	AT5G15390
ostta13g02150	AT1G63490
ostta13g02160	AT3G19590
ostta13g02170	AT4G14690
ostta13g02190	AT4G24050
ostta13g02200	AT4G22930
ostta13g02220	AT2G46910
ostta13g02230	AT3G02530
ostta13g02250	AT5G66380
ostta13g02260	AT5G60390
ostta13g02270	AT3G05350
ostta13g02280	AT4G09140
ostta13g02300	AT1G36310
ostta13g02320	AT5G56750
ostta13g02330	AT4G15570
ostta13g02340	AT1G49040
ostta13g02350	AT3G05230
ostta13g02360	AT3G05510
ostta13g02370	AT4G22910
ostta13g02380	AT1G53650
ostta13g02410	AT5G63080
ostta13g02420	AT3G21390
ostta13g02440	AT1G31800
ostta13g02450	AT3G06270
ostta13g02460	AT3G57290
ostta13g02490	AT1G30960
ostta13g02500	AT1G63770
ostta13g02520	AT1G55150
ostta13g02530	AT5G10480
ostta13g02550	AT5G45680
ostta13g02600	AT5G22780
ostta13g02610	AT4G04860
ostta13g02620	AT5G50310
ostta13g02630	AT3G17205
ostta13g02640	AT1G73960
ostta13g02650	AT4G20080
ostta13g02670	AT4G30150
ostta13g02680	AT5G49560
ostta13g02690	AT1G14250
ostta13g02700	AT1G35190
ostta13g02710	AT5G64320
ostta13g02720	AT3G08720
ostta13g02730	AT1G05120
ostta13g02760	AT4G37110
ostta13g02780	AT4G27640
ostta13g02790	AT5G13300
ostta13g02800	AT4G19210
ostta13g02840	AT3G52180
ostta13g02850	AT2G40730
ostta13g02865	AT3G43240
ostta13g02870	AT5G49840
ostta13g02890	AT1G29320
ostta13g02895	AT5G21222
ostta13g02910	AT3G22840
ostta13g02920	AT4G19645
ostta13g02930	AT1G10840
ostta13g02940	AT1G65930
ostta13g02950	AT1G55860
ostta13g02960	AT1G54350
ostta13g02970	AT5G26360
ostta13g02985	AT2G31060
ostta13g02990	AT1G79810
ostta13g03000	AT1G24050
ostta13g03010	AT1G76710
ostta13g03020	AT5G13430
ostta13g03030	AT4G40042
ostta13g03040	AT5G26860
ostta13g03050	AT5G11340
ostta13g03060	AT5G17230
ostta13g03070	AT1G67660
ostta13g03080	AT5G56130
ostta14g00020	AT4G34100
ostta14g00030	AT4G31300
ostta14g00040	AT2G31800
ostta14g00050	AT3G61680
ostta14g00060	AT4G27780
ostta14g00080	AT5G66760
ostta14g00090	AT1G72440
ostta14g00100	AT5G67630
ostta14g00110	AT2G40010
ostta14g00130	AT1G09932
ostta14g00140	AT1G63780
ostta14g00150	AT3G50820
ostta14g00160	AT4G24490
ostta14g00170	AT1G32070
ostta14g00185	AT3G17670
ostta14g00200	AT1G14030
ostta14g00230	AT4G00290
ostta14g00250	AT1G35910
ostta14g00260	AT1G72830
ostta14g00270	AT3G27325
ostta14g00290	AT2G24990
ostta14g00300	AT2G41500
ostta14g00320	AT1G61040
ostta14g00330	AT1G21190
ostta14g00340	AT5G40850
ostta14g00350	AT3G18430
ostta14g00360	AT4G04610
ostta14g00370	AT1G32490
ostta14g00400	AT5G20510
ostta14g00420	AT1G68760
ostta14g00440	AT5G18790
ostta14g00450	AT4G19003
ostta14g00460	ATCG01040
ostta14g00470	AT5G11960
ostta14g00500	AT3G21110
ostta14g00510	AT5G23700
ostta14g00520	AT4G25130
ostta14g00525	AT4G25130
ostta14g00530	AT2G37975
ostta14g00540	AT5G66280
ostta14g00570	AT1G75140
ostta14g00590	AT5G50430
ostta14g00600	AT3G10840
ostta14g00620	AT5G15750
ostta14g00645	AT1G45110
ostta14g00660	AT4G27960
ostta14g00670	AT1G12250
ostta14g00680	AT2G02570
ostta14g00690	AT5G66470
ostta14g00700	AT3G10230
ostta14g00710	AT5G02530
ostta14g00720	AT1G03860
ostta14g00730	AT4G14000
ostta14g00740	AT1G07010
ostta14g00750	AT3G21540
ostta14g00780	AT5G20600
ostta14g00790	AT3G56900
ostta14g00795	AT1G72640
ostta14g00800	AT2G26350
ostta14g00810	AT3G21640
ostta14g00820	AT3G48560
ostta14g00830	AT5G14250
ostta14g00840	AT5G03880
ostta14g00850	AT2G44580
ostta14g00860	AT1G65660
ostta14g00870	AT4G19006
ostta14g00880	AT1G07210
ostta14g00890	AT1G26660
ostta14g00900	AT5G45680
ostta14g00920	AT1G31360
ostta14g00930	AT1G36280
ostta14g00940	AT3G57660
ostta14g00950	AT1G76040
ostta14g00960	AT5G44200
ostta14g00980	AT2G31450
ostta14g00990	AT2G22870
ostta14g01000	AT1G48380
ostta14g01010	AT3G54050
ostta14g01030	AT1G48310
ostta14g01040	AT5G50920
ostta14g01050	AT2G16440
ostta14g01060	AT1G32990
ostta14g01070	ATCG00640
ostta14g01080	AT3G46100
ostta14g01090	AT3G50685
ostta14g01100	AT1G20410
ostta14g01105	AT1G72190
ostta14g01110	AT1G08410
ostta14g01120	AT2G18740
ostta14g01130	AT1G50500
ostta14g01150	AT3G55760
ostta14g01155	AT4G25840
ostta14g01160	AT3G28730
ostta14g01170	AT5G20720
ostta14g00065	AT4G10340
ostta14g01180	AT5G19930
ostta14g01190	AT5G14710
ostta14g01210	AT1G57770
ostta14g01220	AT5G24490
ostta14g01240	AT1G50500
ostta14g01250	AT2G28840
ostta14g01270	AT5G11200
ostta14g01280	AT4G01610
ostta14g01290	AT5G39410
ostta14g01300	AT3G11220
ostta14g01320	AT5G45280
ostta14g01330	AT1G10040
ostta14g01340	AT2G35930
ostta14g01350	AT4G15900
ostta14g01355	AT1G09150
ostta14g01360	AT4G39220
ostta14g01370	AT5G19500
ostta14g01380	AT5G04220
ostta14g01387	AT4G04870
ostta14g01390	AT1G78320
ostta14g01400	AT3G19510
ostta14g01410	AT4G02020
ostta14g01420	AT2G04270
ostta14g01430	AT2G22650
ostta14g01435	AT3G04590
ostta14g01440	AT1G07510
ostta14g01485	AT4G35450
ostta14g01500	AT5G53470
ostta14g01510	AT4G37680
ostta14g01520	AT1G56070
ostta14g01540	AT3G02260
ostta14g01550	AT1G07980
ostta14g01570	AT1G67300
ostta14g01610	AT5G57850
ostta14g01620	AT3G56570
ostta14g01670	AT1G23010
ostta14g01680	AT2G01320
ostta14g01690	AT1G53660
ostta14g01695	AT1G80190
ostta14g01720	AT5G01920
ostta14g01730	AT2G16405
ostta14g01740	AT2G16950
ostta14g01750	AT2G19940
ostta14g01760	AT2G43500
ostta14g01800	AT3G27000
ostta14g01810	AT5G05450
ostta14g01830	AT2G22480
ostta14g01840	AT3G11710
ostta14g01850	AT1G75350
ostta14g01860	AT1G80040
ostta14g01870	AT2G22260
ostta14g01880	AT3G25980
ostta14g01900	AT2G41220
ostta14g01920	AT1G75510
ostta14g01950	AT4G11630
ostta14g01960	AT1G66520
ostta14g01970	AT2G18990
ostta14g01980	AT1G22800
ostta14g01990	AT5G54680
ostta14g02010	AT5G56090
ostta14g02020	AT5G49570
ostta14g02030	AT1G52380
ostta14g02040	AT4G40000
ostta14g02070	AT2G45300
ostta14g02080	AT3G46560
ostta14g02090	AT1G72570
ostta14g02120	AT5G66550
ostta14g02130	AT5G54310
ostta14g02140	AT1G43560
ostta14g02150	AT2G34970
ostta14g02180	AT2G39930
ostta14g02197	AT2G44050
ostta14g02200	AT4G23660
ostta14g02210	AT2G05120
ostta14g02220	AT1G30480
ostta14g02235	AT2G27290
ostta14g02240	AT1G63680
ostta14g02260	AT3G02090
ostta14g02270	AT1G76200
ostta14g02280	AT4G17550
ostta14g02300	AT1G16740
ostta14g02310	AT5G59240
ostta14g02330	AT4G16845
ostta14g02340	AT2G39970
ostta14g02345	AT5G38895
ostta14g02350	AT1G60600
ostta14g02370	AT5G48810
ostta14g02390	AT5G17670
ostta14g02400	AT4G02080
ostta14g02420	AT4G37930
ostta14g02430	AT2G32900
ostta14g02470	AT3G57560
ostta14g02475	AT1G09280
ostta14g02480	AT5G16630
ostta14g02490	AT3G18140
ostta14g02500	AT5G51410
ostta14g02510	AT1G02145
ostta14g02540	AT4G04850
ostta14g02570	AT4G32990
ostta14g02590	AT2G30650
ostta14g02610	AT4G30480
ostta14g02620	AT4G17650
ostta14g02630	AT1G06680
ostta14g02635	AT1G51310
ostta14g02650	AT3G23080
ostta14g02660	AT1G62850
ostta14g02680	AT2G24630
ostta14g02710	AT1G50000
ostta14g02720	AT2G01970
ostta14g02750	AT4G03430
ostta14g02760	AT2G38130
ostta14g02770	AT4G09800
ostta14g02775	AT4G39540
ostta14g02780	AT4G38350
ostta14g02790	AT1G26670
ostta14g02795	AT3G60810
ostta14g02800	AT4G35780
ostta14g02810	AT5G48120
ostta14g02830	AT5G22950
ostta14g02840	AT1G73750
ostta14g02860	AT3G17940
ostta14g02870	AT1G11890
ostta14g02880	AT5G27490
ostta14g02890	AT3G02780
ostta14g02920	AT3G27000
ostta14g02930	AT5G08540
ostta14g02935	AT2G32600
ostta14g02945	AT1G14400
ostta14g02950	AT4G12740
ostta14g02960	AT5G11860
ostta14g02970	AT1G80560
ostta14g02980	AT4G01840
ostta14g03010	AT3G06190
ostta14g03050	AT1G80600
ostta14g03060	AT1G76590
ostta14g03080	AT4G34830
ostta15g00010	AT1G48270
ostta15g00020	AT3G21820
ostta15g00035	AT4G18460
ostta15g00040	AT1G11390
ostta15g00045	AT3G60245
ostta15g00050	AT5G17240
ostta15g00060	AT3G20330
ostta15g00070	AT5G11100
ostta15g00080	AT5G59610
ostta15g00090	AT1G79230
ostta15g00110	AT1G10210
ostta15g00120	AT4G31050
ostta15g00130	AT3G59220
ostta15g00150	AT4G09320
ostta15g00170	AT3G10330
ostta15g00180	AT2G47650
ostta15g00190	AT4G21120
ostta15g00200	AT1G48170
ostta15g00220	AT1G16445
ostta15g00230	AT1G02010
ostta15g00250	AT3G11830
ostta15g00290	AT1G15350
ostta15g00300	AT4G10070
ostta15g00310	AT5G56360
ostta15g00320	AT3G15352
ostta15g00330	AT3G44880
ostta15g00350	AT1G64040
ostta15g00375	AT2G39250
ostta15g00380	AT3G58830
ostta15g00390	AT5G13650
ostta15g00400	AT3G06540
ostta15g00405	AT4G33060
ostta15g00410	AT5G50320
ostta15g00420	AT3G26340
ostta15g00440	AT5G63440
ostta15g00450	AT2G17510
ostta15g00470	AT5G50460
ostta15g00480	AT5G27220
ostta15g00485	AT5G08530
ostta15g00490	AT1G60200
ostta15g00530	AT1G08750
ostta15g00560	AT4G08550
ostta15g00570	AT4G11860
ostta15g00590	AT3G11950
ostta15g00610	AT1G15500
ostta15g00620	AT5G52520
ostta15g00630	AT1G33410
ostta15g00640	AT3G54540
ostta15g00650	AT5G40650
ostta15g00670	AT3G54180
ostta15g00680	AT4G15110
ostta15g00690	AT1G17460
ostta15g00740	AT3G56990
ostta15g00760	AT1G17070
ostta15g00765	AT5G62030
ostta15g00770	AT3G23255
ostta15g00790	AT1G44910
ostta15g00800	AT2G36660
ostta15g00820	AT4G27630
ostta15g00830	AT3G01120
ostta15g00840	AT1G28420
ostta15g00860	AT2G01640
ostta15g00870	AT5G23200
ostta15g00880	AT3G55850
ostta15g00890	AT1G21640
ostta15g00900	AT3G63140
ostta15g00920	AT3G20810
ostta15g00930	AT2G33800
ostta15g00940	AT3G27610
ostta15g00950	AT3G05090
ostta15g00955	AT3G17390
ostta15g00980	AT3G51980
ostta15g00990	AT1G52230
ostta15g01000	AT1G04400
ostta15g01010	AT2G42910
ostta15g01020	AT4G18230
ostta15g01030	AT1G68100
ostta15g01050	AT1G78130
ostta15g01060	AT2G36270
ostta15g01080	AT5G47240
ostta15g01090	AT4G19130
ostta15g01100	AT3G46450
ostta15g01105	AT4G04330
ostta15g01110	AT5G01220
ostta15g01130	AT5G66930
ostta15g01140	AT2G46210
ostta15g01160	AT5G39740
ostta15g01170	AT5G53070
ostta15g01180	AT1G70600
ostta15g01200	AT3G51850
ostta15g01210	AT3G12290
ostta15g01220	AT4G32700
ostta15g01230	AT5G11450
ostta15g01240	AT3G58560
ostta15g01250	AT1G15960
ostta15g01260	AT3G21430
ostta15g01265	AT1G33980
ostta15g01270	AT1G08520
ostta15g01280	AT1G50900
ostta15g01300	AT2G47990
ostta15g01330	AT5G10190
ostta15g01340	AT2G41530
ostta15g01350	AT5G43940
ostta15g01360	AT1G12400
ostta15g01370	AT1G56345
ostta15g01380	AT5G05200
ostta15g01390	AT5G14105
ostta15g01400	AT2G32295
ostta15g01410	AT5G67560
ostta15g01420	AT5G18700
ostta15g01430	AT4G32730
ostta15g01450	AT3G43240
ostta15g01460	AT5G61780
ostta15g01470	AT5G46290
ostta15g01480	AT4G37270
ostta15g01495	AT5G40080
ostta15g01520	AT1G48090
ostta15g01560	AT2G34357
ostta15g01590	AT1G55480
ostta15g01610	AT2G37990
ostta15g01630	AT4G32850
ostta15g01640	AT4G33380
ostta15g01660	AT4G03115
ostta15g01680	AT2G35035
ostta15g01690	AT2G34470
ostta15g01700	AT1G67550
ostta15g01710	AT5G45380
ostta15g01720	AT1G21840
ostta15g01730	AT1G64550
ostta15g01740	AT3G53090
ostta15g01750	AT5G17930
ostta15g01760	AT4G21460
ostta15g01770	AT5G46110
ostta15g01780	AT3G01060
ostta15g01790	AT3G27120
ostta15g01810	AT3G27120
ostta15g01820	AT5G60160
ostta15g01830	AT5G25780
ostta15g01840	AT5G27990
ostta15g01850	AT5G18660
ostta15g01860	AT4G26750
ostta15g01870	AT3G05670
ostta15g01890	AT1G62640
ostta15g01900	AT1G04190
ostta15g01920	AT5G57240
ostta15g01930	AT3G15660
ostta15g01950	AT5G56510
ostta15g01960	AT1G67960
ostta15g01970	AT5G07120
ostta15g01980	AT3G62720
ostta15g01990	AT4G04780
ostta15g02000	AT5G47890
ostta15g02010	AT5G28060
ostta15g02020	AT1G29310
ostta15g02030	AT3G24315
ostta15g02060	AT1G49450
ostta15g02070	AT3G02870
ostta15g02080	AT5G13470
ostta15g02090	AT4G29590
ostta15g02120	AT5G22080
ostta15g02130	AT3G06670
ostta15g02150	AT4G27120
ostta15g02160	AT1G64680
ostta15g02170	AT5G41020
ostta15g02180	AT2G26650
ostta15g02200	AT1G05190
ostta15g02220	AT5G67270
ostta15g02230	AT2G17900
ostta15g02235	AT5G18900
ostta15g02250	AT2G35660
ostta15g02290	AT2G27710
ostta15g02300	AT3G19770
ostta15g02310	AT5G12130
ostta15g02320	AT2G19870
ostta15g02325	AT1G33680
ostta15g02330	AT2G02955
ostta15g02350	AT1G73980
ostta15g02360	AT1G79850
ostta15g02370	AT3G04490
ostta15g02385	AT1G69526
ostta15g02390	AT1G14030
ostta15g02410	AT3G57890
ostta15g02420	AT1G01940
ostta15g02440	AT1G15140
ostta15g02450	AT3G54540
ostta15g02455	AT4G14605
ostta15g02460	AT5G17250
ostta15g02470	AT1G56300
ostta15g02500	AT1G33270
ostta15g02520	AT5G51820
ostta15g02530	AT4G09550
ostta15g02550	AT4G13010
ostta15g02555	AT1G30910
ostta15g02560	AT5G36790
ostta15g02570	AT5G37630
ostta15g02580	AT2G32450
ostta15g02620	AT5G40660
ostta15g02630	AT1G11740
ostta15g02640	AT1G12244
ostta15g02660	AT5G61330
ostta15g02670	AT1G03130
ostta15g02680	AT3G56940
ostta15g02730	AT1G04190
ostta15g02740	AT5G08390
ostta15g02750	AT1G20693
ostta15g02760	AT2G42680
ostta15g02770	AT3G62450
ostta15g02780	AT3G28970
ostta15g02795	AT5G57950
ostta15g02800	AT5G22320
ostta15g02805	AT2G02180
ostta15g02810	AT3G55610
ostta15g02820	AT2G37560
ostta15g02830	AT1G52510
ostta15g02840	AT3G16620
ostta15g02850	AT1G14000
