ProteinID	ProteinPhase	TranscriptPhase	Annotation
ostta08g03890	22.4	17.1	 Helicase, C-terminal
ostta08g03980	1.5	14.3	 Activator of Hsp90 ATPase, N-terminal
ostta08g04030	10.2	13.2	 Peptidase S16, lon N-terminal
ostta08g04040	4.8	17.4	 Zinc finger, RING/FYVE/PHD-type
ostta08g04080	10.1	15.8	 Structural maintenance of chromosomes protein 6
ostta08g04090	3.2	3.5	 Mechanosensitive ion channel MscS
ostta08g04180	16.8	6.7	 Non-structural maintenance of chromosomes element 1
ostta08g04220	3	20.1	 Nucleic acid-binding, OB-fold n/a  Nucleic acid-binding, OB-fold
ostta09g00030	20	18.2	 Tryptophan synthase beta chain/beta chain-like
ostta09g00050	23.4	16	 Conserved oligomeric Golgi complex subunit 7
ostta09g00060	18.8	14.6	 unnamed product
ostta09g00100	22	14.9	 Amidohydrolase 2
ostta09g00130	3.9	3.4	 1-acyl-sn-glycerol-3-phosphate acyltransferase
ostta09g00160	21.5	16.4	 CCR4-Not complex component, Not1, C-terminal
ostta09g00170	19	23.1	 Nucleotidyl transferase
ostta09g00220	19.9	18.1	' RNA 3''-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta'
ostta09g00260	17.3	14.4	 Zinc finger, NHR/GATA-type
ostta09g00310	0.5	19.4	 unnamed product
ostta09g00360	6	22.9	 SNF2-related
ostta09g00430	21.8	16.2	 Histidine phosphatase superfamily, clade-1
ostta09g00700	21.4	13.5	 Phosphatidylinositol-4-phosphate 5-kinase, core
ostta09g00750	4.4	21.3	 unnamed product
ostta09g00770	10.3	17.2	 Phosphoglycolate phosphatase, domain 2
ostta09g00785	15.1	21.5	 Armadillo-type fold
ostta09g00792	0.2	18.1	 NADP-binding domain
ostta09g00870	15	16.9	 Translation elongation/initiation factor/Ribosomal, beta-barrel
ostta09g00950	2.7	1.6	 Phox/Bem1p
ostta09g00970	0.5	2.8	 Methyltransferase type 11
ostta09g01130	21.4	15.6	 von Willebrand factor, type A
ostta09g01210	17	21	 Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal
ostta09g01430	0.6	1	 Protein of unknown function DUF1751, integral membrane, eukaryotic
ostta09g01530	21.6	18.2	 SUF system FeS cluster assembly, SufBD
ostta09g01560	18.3	19.7	 Haem peroxidase, plant/fungal/bacterial
ostta09g01590	21.5	15.1	 Glutathione peroxidase
ostta09g01640	16.3	16.4	 Thioredoxin-like fold
ostta09g01740	3.3	8.6	 Ferritin-like superfamily
ostta09g01770	17.3	13.2	 Cytochrome b-c1 complex, subunit 6
ostta09g02130	22.9	12.7	 Zinc finger, DNA-directed DNA polymerase, family B, alpha
ostta09g02150	18.1	13.6	 Protein of unknown function DUF2930
ostta09g02160	13.7	16.5	 WD40/YVTN repeat-like-containing domain
ostta09g02170	0.2	17.2	 14-3-3 protein
ostta09g02310	23.5	16.2	 Pyruvate phosphate dikinase, PEP/pyruvate-binding
ostta09g02620	23.6	15.8	 ABC transporter, conserved site
ostta09g02670	11.5	11.7	 unnamed product
ostta09g02690	7.9	16.2	 Tetratricopeptide-like helical
ostta09g02720	8.2	15	 High mobility group box domain
ostta09g03020	1.8	0.2	 Actin-related protein
ostta09g03090	20.3	13.7	 unnamed product
ostta09g03170	8.7	6	 Zinc finger, RanBP2-type
ostta09g03220	6.8	3.4	 Rad60/SUMO-like domain
ostta09g03260	19.8	16.1	 Acyl-CoA N-acyltransferase
ostta09g03465	22.9	17.9	 Zinc finger, PHD-finger
ostta09g03550	21.2	11.5	 Aminoacyl-tRNA synthetase, class II
ostta09g03660	0.1	16.7	 Branched-chain amino acid aminotransferase II
ostta09g03760	17	11.8	 Helix-hairpin-helix motif, class 2
ostta09g03780	6.3	1.3	 unnamed product
ostta09g03830	21	14.6	 Small GTPase superfamily, Rho type
ostta09g03910	0.2	18.7	 P-loop containing nucleoside triphosphate hydrolase
ostta09g04130	0.2	1.9	 Nucleotide-binding, alpha-beta plait
ostta09g04490	19.5	15.6	 unnamed product
ostta10g00030	9.9	16.7	 TRAPP I complex, Bet3
ostta10g00040	8.1	5.3	 LETM1-like
ostta10g00050	3.5	4.5	 Peptidase S33
ostta10g00110	22.2	3.5	 Squalene/phytoene synthase
ostta10g00230	7.4	3.1	 Aspartate-tRNA ligase, class IIb, bacterial/mitochondrial-type
ostta10g00430	5.3	20.8	 Tetratricopeptide-like helical
ostta10g00500	13.9	11.5	 Aminoacyl-tRNA synthetase, class Ia
ostta10g00545	0.5	21.9	 Glycoside hydrolase, superfamily
ostta10g00580	8.3	22.2	 unnamed product
ostta10g00640	17.7	12.9	 ETC complex I subunit
ostta10g00740	18.9	15	 Proteasome B-type subunit
ostta10g00850	21.8	16.6	 ATPase, V0 complex, subunit 116kDa, eukaryotic
ostta10g00870	10	16.1	 Pre-mRNA-splicing factor  Cwf15/Cwc15
ostta10g00920	7.8	0.3	 Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
ostta10g01110	23.1	18.1	 unnamed product
ostta10g01240	10.3	14.9	 Aspartic peptidase
ostta10g01270	2.5	19.3	 P-loop containing nucleoside triphosphate hydrolase
ostta10g01380	22.5	17	 ABC transporter, conserved site
ostta10g01430	19.5	17.4	 Alternative oxidase
ostta10g01500	4.2	22.7	 Transmembrane receptor, eukaryota
ostta10g01590	4.2	15.7	 NAD-dependent epimerase/dehydratase
ostta10g01610	11.3	3.7	 P-loop containing nucleoside triphosphate hydrolase
ostta10g01710	23.4	15.3	 Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase
ostta10g01920	23.2	18	 Metalloenzyme, LuxS/M16 peptidase-like
ostta10g01950	0.7	20.4	 unnamed product
ostta10g02100	19.9	13.3	 unnamed product
ostta10g02140	23.8	19.6	 Glycosyl transferase, family 1
ostta10g02180	11.8	14	 Scavenger mRNA decapping enzyme DcpS/DCS2
ostta10g02240	16.3	19.1	 P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase
ostta10g02270	0.4	21.8	 Peptidase S9, prolyl oligopeptidase, catalytic domain
ostta10g02370	19.8	19.2	 WD40/YVTN repeat-like-containing domain
ostta10g02460	4.2	18.6	 NADP-binding domain
ostta10g02680	11.5	14.6	 Ubiquitin fusion degradation protein UFD1
ostta10g02770	20.5	13.3	 Sulphate transporter
ostta10g02780	2.2	5.2	 hypothetical protein
ostta10g02850	2.2	5.5	 Rudiment single hybrid motif
ostta10g02970	18.1	13.3	 Leucine-rich repeat, ribonuclease inhibitor subtype
ostta10g03010	1.1	18.1	 unnamed product
ostta10g03070	21.2	4.9	 Pyridoxal phosphate-dependent transferase, major region, subdomain 2 n/a  Pyriddependent transferase, major region, subdomain 2
ostta10g03365	3	19.6	 Glutamine cyclotransferase
ostta10g03400	21.6	15.8	 unnamed product
ostta10g03410	7.9	4.8	 Pseudouridine synthase TruD, conserved site
ostta10g03420	12.1	6	 Tyrosine-protein kinase, active site
ostta10g03550	18	15.9	 Protein of unknown function DUF1092
ostta11g00130	9.6	19.2	 Leucine-rich repeat
ostta11g00270	17.9	15.3	 Ubiquitin interacting motif
ostta11g00300	1.5	13.3	 ATPase, V1/A1 complex, subunit E
ostta11g00330	11.4	8.5	 GC-rich sequence DNA-binding factor domain
ostta11g00380	13	20.9	 Haem peroxidase, plant/fungal/bacterial
ostta11g00410	13.9	14.2	 MOZ/SAS-like protein
ostta11g00470	0.3	17.1	 Alpha/beta hydrolase fold-1
ostta11g00690	9.3	7.5	 Tetratricopeptide repeat-containing domain
ostta11g00800	1.2	20.8	 Cation-transporting P-type ATPase, C-terminal
ostta11g00820	13.3	17.1	 Structural maintenance of chromosomes protein
ostta11g00840	18.1	15.3	 NAD-dependent deacetylase sirtuin-2, sirtuin family, class I
ostta11g00910	21.5	13.8	 26S proteasome, regulatory subunit Rpn7
ostta11g00940	18.7	13.2	 O-acyltransferase, WSD1, N-terminal
ostta11g00960	20.5	12.5	 Alcohol dehydrogenase superfamily, zinc-type
ostta11g00985	3.6	21.4	 unnamed product
ostta11g01190	7.1	4.4	 Rossmann-like alpha/beta/alpha sandwich fold
ostta11g01280	10.5	18.6	 Pyridoxal phosphate-dependent transferase, major region, subdomain 2
ostta11g01290	0.2	10.8	 Nucleic acid-binding, OB-fold
ostta11g01400	17.9	12.9	 von Willebrand factor, type A
ostta11g01470	17.9	13.9	 Dihydroneopterin aldolase
ostta11g01500	21.8	13.9	 Magnesium transporter MRS2/LPE10
ostta11g01580	3.2	18.9	 Adenylylsulphate kinase
ostta11g01670	0.5	13.9	 Ankyrin repeat
ostta11g01700	22.5	15.2	 Rubisco LS methyltransferase, substrate-binding domain
ostta11g01900	14.1	11.7	 Kua-ubiquitin conjugating enzyme hybrid, localisation
ostta11g01910	8.7	21	 WD40/YVTN repeat-like-containing domain
ostta11g01950	19.2	13.1	 Armadillo-type fold
ostta11g01980	21.1	22.4	 NADH:ubiquinone oxidoreductase intermediate-associated protein 30
ostta11g02360	21.7	20	 G-protein beta WD-40 repeat
ostta11g02480	17.9	21	 CASP, C-terminal
ostta11g02510	2.7	9.3	 Protein phosphatase 2C
ostta11g02600	20.5	14.5	 Armadillo-type fold
ostta11g02710	22.4	19.2	 Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1
ostta11g02790	0.5	14.7	 unnamed product
ostta11g02970	23.5	21.7	 Thioredoxin-like fold
ostta11g03020	22.4	14.3	 Alpha/beta hydrolase fold-3
ostta11g03110	0.5	6.6	 Cwf19-like protein, C-terminal domain-2
ostta11g03190	0	0.4	 NADP-dependent oxidoreductase domain
ostta12g00060	3.7	6.8	 NIF system FeS cluster assembly, NifU, C-terminal
ostta12g00070	17.1	22.3	 Heat shock protein DnaJ, cysteine-rich domain
ostta12g00110	11	14.2	 Transcription elongation factor S-II, central domain
ostta12g00190	1.9	22.6	 Carbohydrate binding module family 20
ostta12g00320	22	12.4	 Thioredoxin-like fold
ostta12g00430	18.3	13.5	 Biotin synthase/Biotin biosynthesis bifunctional protein BioAB
ostta12g00480	13.8	5.3	 DNA methylase, N-6 adenine-specific, conserved site
ostta12g00490	19.8	16.1	 DNA ligase, ATP-dependent, conserved site
ostta12g00530	1.1	19.8	 2-oxoacid dehydrogenase acyltransferase, catalytic domain
ostta12g00580	3.1	18.4	 NUDIX hydrolase domain-like
ostta12g00620	21.9	13.6	 Glycosyltransferase, DXD sugar-binding motif
ostta12g00645	23.8	6.2	 Moybdenum cofactor oxidoreductase, dimerisation
ostta12g00680	24	20.5	 SEC7-like
ostta12g00820	18.3	13.8	 Transcription factor DP
ostta12g00910	21.5	18.1	 BRO1 domain
ostta12g00940	9.1	21.6	 RNA polymerase, Rpb8
ostta12g00960	23.3	17.3	 Metal-dependent protein hydrolase
ostta12g00970	21.1	18.3	 unnamed product
ostta12g01000	0	16.4	 unnamed product
ostta12g01130	0.7	20.8	 Mitochondrial import inner membrane translocase subunit Tim16
ostta12g01220	10.7	3.6	 Serine/threonine-protein kinase, active site
ostta12g01250	2.5	17.9	 hypothetical protein
ostta12g01260	9.7	13.4	 unnamed product
ostta12g01310	17.8	13.9	 Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase
ostta12g01320	21	15.3	 tRNA-splicing ligase, RtcB
ostta12g01530	1.7	18.2	 Helicase, C-terminal
ostta12g01580	14.2	14.6	 DNA mismatch repair protein, MSH2
ostta12g01600	7.9	7.9	 Nucleoporin, Nup133/Nup155-like, C-terminal
ostta12g01760	14.8	20.3	 Methylosome subunit pICln
ostta12g01770	23.5	17.5	 Aldehyde dehydrogenase, C-terminal
ostta12g01810	9	3	 Pyridoxal phosphate-dependent transferase, major region, subdomain 1
ostta12g01820	22.1	17.5	 Eukaryotic translation initiation factor 3 subunit J
ostta12g01870	21.8	20.4	 Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain
ostta12g01900	13.5	7.7	 Axin interactor dorsalization-associated protein, C-terminal domain
ostta12g02000	0.4	14.2	 unnamed product
ostta12g02310	23.9	17.5	 unnamed product
ostta12g02360	5.6	21.5	 Protein prenyltransferase, alpha subunit
ostta12g02510	14.4	21.2	 Glutamine amidotransferase
ostta12g02720	19.5	14.3	 Histone-like DNA-binding protein, conserved site
ostta12g02890	17.5	21.9	 DNA recombination/repair protein RecA, monomer-monomer interface
ostta12g03030	4.5	18.2	 GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1
ostta13g00150	8	24	 Nucleoside diphosphate kinase
ostta13g00460	20.2	16.5	 Thioredoxin, conserved site
ostta13g00630	6.7	3.3	 ATPase, F1 complex beta subunit/V1 complex, C-terminal
ostta13g00850	15	20.7	 Mitochondrial Rho-like
ostta13g00885	3.2	21.3	 Helicase, C-terminal
ostta13g00920	4.8	21.7	 Thioredoxin, conserved site
ostta13g00970	16.1	16.8	 Nucleotide-binding, alpha-beta plait
ostta13g01100	0.7	21.8	 Signal transduction response regulator, receiver domain
ostta13g01140	20.3	13.3	 Glyceraldehyde 3-phosphate dehydrogenase, NADP binding domain
ostta13g01170	23.6	15.3	 NUDIX hydrolase, conserved site
ostta13g01380	23.6	11	 CHCH
ostta13g01470	21	14.7	 Armadillo-type fold
ostta13g01480	2.4	17	 Peptidyl-tRNA hydrolase, PTH2
ostta13g01550	10.6	5.2	 WD40/YVTN repeat-like-containing domain
ostta13g01590	14	14.8	 Zinc finger, RanBP2-type
ostta13g01850	11.7	14.5	 unnamed product
ostta13g02020	21.6	13	 unnamed product
ostta13g02120	0.3	18.7	 RNA polymerases, subunit N, zinc binding site
ostta13g02130	17.1	13.4	 FERM/acyl-CoA-binding protein, 3-helical bundle
ostta13g02170	10.5	4.1	 Tetratricopeptide repeat-containing domain
ostta13g02230	23.5	16.2	 Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, N-terminal
ostta13g02260	22.4	0.2	 Ribulose-phosphate binding barrel
ostta13g02440	8.3	2.1	 Quinonprotein alcohol dehydrogenase-like superfamily
ostta13g02480	14.7	14.9	 RmlC-like jelly roll fold
ostta13g02600	22.6	15.3	 Mini-chromosome maintenance, DNA-dependent ATPase
ostta13g02640	22.6	13.9	 DNA primase large subunit, eukaryotic/archaeal
ostta13g02790	17	22.2	 Glycosyl transferase, family 35
ostta13g03020	2.7	12	 PPPDE putative peptidase domain
ostta13g03040	3.2	23.2	 ABC transporter, conserved site
ostta14g00020	16.5	18	 unnamed product
ostta14g00050	19.9	20.1	 Histidine phosphatase superfamily, clade-1
ostta14g00300	10	19.7	' 4''-phosphopantetheinyl transferase superfamily'
ostta14g00400	19.8	14.9	 Zinc finger, CW-type
ostta14g00490	22.4	21.2	 DNA polymerase alpha, subunit B
ostta14g00500	3.8	18.6	 UDP-galactopyranose mutase
ostta14g00660	4.5	15.6	 unnamed product
ostta14g00700	5.9	1.6	 Alternative oxidase
ostta14g00795	2.8	22	 Dak kinase
ostta14g00840	9.5	5.3	 NADH:cytochrome b5 reductase CBR
ostta14g00850	21.8	15.4	 Pyridoxal phosphate-dependent transferase, major region, subdomain 2
ostta14g00880	3.8	20.5	 unnamed product
ostta14g01050	8	13.3	 Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote
ostta14g01240	8.6	18.7	 hypothetical protein
ostta14g01245	20.3	4	 unnamed product
ostta14g01270	23.5	12.5	 P-loop containing nucleoside triphosphate hydrolase
ostta14g01290	15.8	20.6	 Flavoprotein pyridine nucleotide cytochrome reductase
ostta14g01310	21.1	17.3	 Ribosomal protein L25/Gln-tRNA synthetase, beta-barrel domain
ostta14g01380	11.2	9.6	 Lariat debranching enzyme n/a  Lariat debranching enzyme, C-terminal
ostta14g01580	24	6.7	 Filamin/ABP280 repeat-like
ostta14g01730	21.9	8.2	 Nucleoside diphosphate kinase
ostta14g01840	1.3	19.4	 unnamed product
ostta14g01850	7.9	2.4	 unnamed product
ostta14g01960	23.1	20.8	 Protein of unknown function DUF2358
ostta14g02340	18	19.6	 unnamed product
ostta14g02660	16.5	20.8	 Annexin
ostta14g02710	7.6	20.1	 Nucleoside diphosphate kinase
ostta14g02730	16.5	14.6	 UTP--glucose-1-phosphate uridylyltransferase
ostta14g02775	9.6	23.6	 WD40 repeat
ostta14g03010	0.3	20.4	 Thioredoxin-like fold n/a  Thioredoxin-like fold
ostta14g03050	24	23.2	 Bystin n/a  Bystin
ostta14g03060	5.9	0.1	 DNA polymerase alpha/epsilon, subunit B
ostta15g00060	22.6	14.7	 Thioredoxin-like fold
ostta15g00180	7.4	6.6	 Glycosyl hydrolase, family 13, catalytic domain
ostta15g00195	0.3	10.4	 Peptidoglycan-binding lysin domain
ostta15g00230	22.8	9.5	' 5''-Nucleotidase/apyrase'
ostta15g00280	15.8	5.1	 unnamed product
ostta15g00350	0.4	15.3	 Clathrin/coatomer adaptor, adaptin-like, N-terminal
ostta15g00390	9.7	2.1	 Ankyrin repeat
ostta15g00570	3.6	16.8	 unnamed product
ostta15g00650	20.4	12.3	 hypothetical protein
ostta15g00670	19.4	15.6	 Tryptophan RNA-binding attenuator protein-like domain
ostta15g00680	4.9	3.8	 Cohesin loading factor
ostta15g00900	6.1	6.2	 Steroid receptor RNA activator-protein/coat protein complex II, Sec31
ostta15g01060	2.3	19.7	 ABC transporter type 1, transmembrane domain
ostta15g01090	19.2	14.3	 Thiaminase-2/PQQ biosynthesis protein C
ostta15g01110	11.6	21.1	 Hydroxyethylthiazole kinase
ostta15g01265	17.5	10.5	 unnamed product
ostta15g01420	23	16	 AMP-dependent synthetase/ligase
ostta15g01470	1.8	3.6	 Syntaxin/epimorphin, conserved site
ostta15g01510	0.7	16.9	 Protein kinase-like domain
ostta15g01530	0.5	20.3	 Armadillo repeat-containing protein 3 and Serine/threonine-protein kinase CTR1 repeat-containing protein 3 and Serine/threonine-protein kinase CTR1
ostta15g01550	20.2	15.1	 Peptidase S10, serine carboxypeptidase, active site
ostta15g01560	8.9	21.3	 unnamed product
ostta15g01890	15.9	3.4	 Tubulin/FtsZ, 2-layer sandwich domain
ostta15g01920	5.7	10.9	 Serine/threonine dehydratase, pyridoxal-phosphate-binding site
ostta15g02170	8.2	22	 unnamed product
ostta15g02550	9.7	17.3	 RmlC-like jelly roll fold
ostta15g02555	21.6	14.1	 Alpha/beta hydrolase fold-1
ostta15g02710	17.8	19	 Oxoglutarate/iron-dependent dioxygenase
ostta15g02810	0.1	21.7	 Taurine catabolism dioxygenase TauD/TfdA
ostta15g02900	11.5	6.7	 Rab-GTPase-TBC domain
ostta16g00040	23.2	12.8	 Flavin monooxygenase-like
ostta16g00100	4.9	21.2	 unnamed product
ostta16g00240	21.6	21	 ApaG domain
ostta16g00330	6.9	0.2	 Carotene isomerase
ostta16g00350	12.1	20.3	 Erv1/Alr
ostta16g00520	18.5	17.4	 Guanylate kinase
ostta16g01180	7.4	18.4	 Acyl-CoA oxidase/dehydrogenase, central domain
ostta16g01400	3.5	18.7	 Histidine kinase-like ATPase, ATP-binding domain n/a  Histidine kinase-like ATPg domain
ostta16g01460	24	16	 P-loop containing nucleoside triphosphate hydrolase
ostta16g01560	15.9	3.9	 2Fe-2S ferredoxin-type domain n/a  2Fe-2S ferredoxin-type domain
ostta16g01580	3	21.4	 Rubredoxin, iron-binding site
ostta16g01640	20.3	15.8	 Malic enzyme, NAD-binding
ostta16g01690	22.5	18.9	 Protein of unknown function DUF1350
ostta16g01720	11	0.8	 unnamed product
ostta16g01730	17.5	18.1	 tRNA-dihydrouridine synthase
ostta16g01770	5.1	6.9	 Helicase, C-terminal
ostta16g02010	2.4	1.8	 P-loop containing nucleoside triphosphate hydrolase
ostta16g02030	2.6	21.1	 Ankyrin repeat-containing domain
ostta16g02040	8.9	2.7	 Galactose oxidase, beta-propeller
ostta16g02045	18.2	20.9	 Senescence marker protein-30 SMP-30
ostta16g02300	2.4	14	 unnamed product
ostta16g02370	17.7	13.6	 SANT/Myb domain
ostta16g02470	22	0.9	 unnamed product
ostta16g02540	4	22.5	 Serine/threonine-protein kinase, active site
ostta16g02560	2.4	0.5	 Ribonuclease II/R
ostta16g02680	14.4	16.2	 hypothetical protein
ostta17g00030	0.5	16.8	 unnamed product
ostta17g00100	11.3	5.4	 Initiation factor 2B-related
ostta17g00200	19.8	17.1	 Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain
ostta17g00250	22.7	20.7	 Replication protein A, C-terminal
ostta17g00320	10.9	3.3	 Small GTPase superfamily, Rho type
ostta17g00490	11.7	14.5	 Mss4-like
ostta17g00550	0.5	10.9	 Cobalamin vitamin B12 biosynthesis CobW-like, C-terminal
ostta17g00560	22	0	 Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain
ostta17g00780	20.8	16.9	 unnamed product
ostta17g00840	9.5	20.4	 Zinc finger, ZZ-type
ostta17g00890	20.6	12.9	 Cytochrome b5-like heme/steroid binding domain
ostta17g01110	6	18.9	 EAP30
ostta17g01150	2.4	21.9	 unnamed product
ostta17g01255	7.9	5.2	 Peptidase C2, calpain family
ostta17g01280	22.2	17.3	 unnamed product
ostta17g01390	11.4	0.7	 ELYS-like domain
ostta17g01400	8.2	5.4	 unnamed product
ostta17g01470	1.1	21	 Chlorophyll a/b binding protein domain
ostta17g01640	12.6	21.3	 Chaperonin TCP-1, conserved site
ostta17g01820	22.1	21.6	 Translation elongation/initiation factor/Ribosomal, beta-barrel
ostta17g01880	0.2	2.3	 Cytochrome P450, conserved site
ostta17g01950	21.1	0.9	 unnamed product
ostta17g02020	6.6	19.3	 Clathrin alpha-adaptin/coatomer adaptor, appendage, C-terminal subdomain n/a  Cdaptin/coatomer adaptor, appendage, C-terminal subdomain
ostta17g02070	4.8	17.3	 Peptidase M1, membrane alanine aminopeptidase, N-terminal
ostta17g02090	23.5	15.8	 Arf GTPase activating protein
ostta17g02160	5.3	21.4	 Rieske iron-sulphur protein n/a  Rieske iron-sulphur protein
ostta17g02230	7.8	8.6	 P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase
ostta17g02305	19.5	14	 Zinc finger, RING-CH-type
ostta17g02320	20.9	12.7	 Lipase, class 3 n/a  Lipase, class 3
ostta17g02360	6.8	2	 Splicing factor motif
ostta18g00120	22	14.1	 Alfin
ostta18g00310	8.9	22.5	 Polyketide cyclase/dehydrase
ostta18g00380	15.5	13.4	 SAICAR synthetase
ostta18g00420	18.1	10	 Ubiquitin-conjugating enzyme, active site
ostta18g00610	18	14.1	 Lycopene cyclase-type, FAD-binding
ostta18g00750	15.7	12.3	 NADP-binding domain n/a  NADP-binding domain
ostta18g00880	8.4	10.6	 Thioredoxin-like fold
ostta18g00940	8.9	1.8	 Sister chromatid cohesion protein Dcc1
ostta18g00980	19.5	16.1	 Ribosomal protein S18
ostta18g01000	17.1	1.1	 Helix-turn-helix, base-excision DNA repair, C-terminal
ostta18g01010	23.4	19.7	 Mini-chromosome maintenance complex protein 4 n/a  Mini-chromosome maintenance                                                                                                                                                                                                                                                                                                                                                                                                                                                         4
ostta18g01060	2.5	1	 Adenosylcobalamin biosynthesis, ATP:cobIalamin adenosyltransferase-like n/a  Ad biosynthesis, ATP:cobIalamin adenosyltransferase-like
ostta18g01110	17.5	21	 unnamed product
ostta18g01130	12.3	13.5	 Vps53-like, N-terminal
ostta18g01440	15.2	14	 FMN-binding split barrel n/a  FMN-binding split barrel
ostta18g01520	7.9	4.6	 Helicase, C-terminal
ostta18g01940	23.8	13.6	 Saccharopine dehydrogenase / Homospermidine synthase
ostta18g01980	3.6	21.2	 unnamed product
ostta19g00440	20.9	0.1	 C2 calcium-dependent membrane targeting n/a  C2 calcium-dependent membrane targ
ostta19g00640	18.1	23.3	 Transcription factor CBF/NF-Y/archaeal histone n/a  Transcription factor CBF/NFtone
ostta20g00140	22.2	12.5	 Peptidase M32, carboxypeptidase Taq metallopeptidase
ostta20g00160	17.8	14.6	 WD40 repeat
ostta20g00410	15.8	14.5	 Lysine-tRNA ligase, class II
ostta20g00550	1	23.2	 Ribosomal protein L31
ostta20g00630	15.1	13	 Formyl transferase, N-terminal
ostta20g00640	14.9	23.3	 Mitochondrial substrate/solute carrier
ostta01g00020	3.8	18.4	 Peptide chain release factor class I/class II
ostta01g01090	12	13.5	 Nucleolar protein 12 n/a  Nucleolar protein 12
ostta01g01350	2.7	12.8	 Ribosomal RNA small subunit methyltransferase E
ostta01g02760	7.9	13.9	  n/a  unnamed product
ostta01g04120	2	23.4	 Tetratricopeptide repeat n/a  Tetratricopeptide repeat
ostta01g05240	16.1	23.8	 P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nuclhate hydrolase
ostta01g05430	5.9	15.4	 Ion transport 2
ostta01g05450	9.4	15.2	 BTB/POZ-like
ostta01g05870	1.4	15	 Pyridoxal phosphate-dependent transferase, major region, subdomain 1
ostta02g00950	14.7	20.1	 Protein of unknown function DUF597
ostta02g01010	4.2	21.4	 Aspartate carbamoyltransferase n/a  Aspartate carbamoyltransferase
ostta02g01460	7.4	18.3	 RmlC-like jelly roll fold
ostta02g01610	23.1	18.2	 NAD-dependent epimerase/dehydratase
ostta02g02700	23.4	20	  n/a  hypothetical protein
ostta02g04710	23.1	19.4	 Sec1-like protein
ostta02g05060	17.3	14.5	 Acyl-CoA N-acyltransferase
ostta03g00030	21.6	17.2	 unnamed product
ostta03g00520	15.2	6.2	 Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase
ostta03g01060	18.1	15	 Translation elongation/initiation factor/Ribosomal, beta-barrel n/a  Translatioitiation factor/Ribosomal, beta-barrel
ostta03g02200	0.7	19.5	 Protein of unknown function DUF544 n/a  Protein of unknown function DUF544
ostta03g02540	20.6	18.5	 Proline-tRNA ligase, class IIa
ostta03g02980	19	3.4	 Succinate dehydrogenase/fumarate reductase iron-sulphur protein
ostta03g03825	22.1	13.1	 Serine/threonine-protein kinase, active site
ostta03g05380	2.5	21.6	 Cytochrome P450, conserved site
ostta04g00220	3.1	22.6	 NADP-binding domain n/a  NADP-binding domain
ostta04g00740	18.6	20.3	 G-protein beta WD-40 repeat n/a  G-protein beta WD-40 repeat n/a  G-protein betn/a  G-protein beta WD-40 repeat
ostta04g00910	5.9	23.2	 Basic-leucine zipper domain
ostta04g01160	6.3	19.5	 Replication factor-A protein 1, N-terminal
ostta04g01410	19.3	19.5	 Glycosyl transferase, family 1 n/a  Glycosyl transferase, family 1
ostta04g01610	1.1	2.7	 Regulator of nonsense-mediated decay, UPF3 n/a  Regulator of nonsense-mediated
ostta04g02890	4.7	21.6	 Serine/threonine-protein kinase, active site n/a  Serine/threonine-protein kina
ostta04g03210	15.9	20.8	 Thiolase-like, subgroup
ostta04g03455	20.3	21.1	 unnamed product
ostta04g03840	17.1	16.7	 unnamed product
ostta04g03880	0.5	15	 Actin-binding, cofilin/tropomyosin type
ostta04g04650	11.4	13.2	 Uncharacterised domain NUC173
ostta05g00110	21.8	20.1	 ABC transporter, conserved site
ostta05g00280	19.6	19.4	 Peptidase M18
ostta05g00460	8.8	21.3	 Thiolase-like, subgroup
ostta05g01080	4.7	21.7	 Oxysterol-binding protein
ostta05g01880	22	19.9	 SANT/Myb domain
ostta05g02690	4.5	21.7	 Tubulin binding cofactor C
ostta05g03270	20.8	19.5	 Alcohol dehydrogenase superfamily, zinc-type
ostta05g04100	12.5	11.8	 Molybdenum cofactor sulfurase, C-terminal n/a  Molybdenum cofactor sulfurase, C
ostta06g00380	11.8	18.2	 unnamed product
ostta06g00850	23	16.8	 Glutamate 5-kinase n/a  Glutamate 5-kinase
ostta06g00870	21.7	2.3	 Glycine cleavage H-protein, subgroup n/a  Glycine cleavage H-protein, subgroup
ostta06g01190	19.4	16.8	 AMP-dependent synthetase/ligase n/a  AMP-dependent synthetase/ligase
ostta06g01430	19.5	19.8	 Ribosomal RNA-processing protein 7
